id,dayOfWeek,startTime,endTime,slotType,ownerId,classroomIp
1,MONDAY,8:50,9:40,SECTION,19,192.168.1.4
2,MONDAY,9:40,10:30,SECTION,19,192.168.1.4
3,TUESDAY,8:50,9:40,SECTION,19,192.168.1.4
4,TUESDAY,9:40,10:30,SECTION,19,192.168.1.4
5,THURSDAY,10:40,11:30,SECTION,19,192.168.1.4
6,THURSDAY,11:30,12:20,SECTION,19,192.168.1.4
7,TUESDAY,7:00,7:50,SECTION,17,192.168.1.4
8,TUESDAY,7:50,8:40,SECTION,17,192.168.1.4
9,FRIDAY,8:50,9:40,SECTION,17,192.168.1.4
10,FRIDAY,9:40,10:30,SECTION,17,192.168.1.4
11,MONDAY,15:50,16:40,SECTION,18,192.168.1.4
12,MONDAY,16:40,17:30,SECTION,18,192.168.1.4
13,THURSDAY,15:50,16:40,SECTION,18,192.168.1.4
14,THURSDAY,16:40,17:30,SECTION,18,192.168.1.4
15,MONDAY,10:40,11:30,SECTION,21,192.168.1.4
16,MONDAY,11:30,12:20,SECTION,21,192.168.1.4
17,THURSDAY,8:50,9:40,SECTION,21,192.168.1.4
18,THURSDAY,9:40,10:30,SECTION,21,192.168.1.4
19,FRIDAY,12:20,13:10,SECTION,22,192.168.1.4
20,FRIDAY,13:10,14:00,SECTION,22,192.168.1.4
21,FRIDAY,17:40,18:30,SECTION,22,192.168.1.4
22,FRIDAY,18:30,19:20,SECTION,22,192.168.1.4
23,TUESDAY,12:20,13:10,SECTION,20,192.168.1.4
24,TUESDAY,13:10,14:00,SECTION,20,192.168.1.4
25,WEDNESDAY,15:50,16:40,SECTION,20,192.168.1.4
26,WEDNESDAY,16:40,17:30,SECTION,20,192.168.1.4
27,FRIDAY,15:50,16:40,SECTION,20,192.168.1.4
28,FRIDAY,16:40,17:30,SECTION,20,192.168.1.4
29,WEDNESDAY,7:00,7:50,SECTION,25,192.168.1.4
30,WEDNESDAY,7:50,8:40,SECTION,25,192.168.1.4
31,WEDNESDAY,8:50,9:40,SECTION,25,192.168.1.4
32,TUESDAY,11:30,12:20,SECTION,26,192.168.1.4
33,TUESDAY,12:20,13:10,SECTION,26,192.168.1.4
34,TUESDAY,13:10,14:00,SECTION,26,192.168.1.4
35,MONDAY,12:20,13:10,SECTION,15,192.168.1.4
36,MONDAY,13:10,14:00,SECTION,15,192.168.1.4
37,WEDNESDAY,12:20,13:10,SECTION,15,192.168.1.4
38,WEDNESDAY,13:10,14:00,SECTION,15,192.168.1.4
39,THURSDAY,12:20,13:10,SECTION,15,192.168.1.4
40,THURSDAY,13:10,14:00,SECTION,15,192.168.1.4
41,MONDAY,14:00,14:50,SECTION,16,192.168.1.4
42,MONDAY,14:50,15:40,SECTION,16,192.168.1.4
43,WEDNESDAY,14:00,14:50,SECTION,16,192.168.1.4
44,WEDNESDAY,14:50,15:40,SECTION,16,192.168.1.4
45,THURSDAY,14:00,14:50,SECTION,16,192.168.1.4
46,THURSDAY,14:50,15:40,SECTION,16,192.168.1.4
47,WEDNESDAY,9:40,10:30,SECTION,23,192.168.1.4
48,WEDNESDAY,10:40,11:30,SECTION,23,192.168.1.4
49,WEDNESDAY,11:30,12:20,SECTION,23,192.168.1.4
50,FRIDAY,7:00,7:50,SECTION,23,192.168.1.4
51,FRIDAY,7:50,8:40,SECTION,23,192.168.1.4
52,TUESDAY,14:00,14:50,SECTION,24,192.168.1.4
53,TUESDAY,14:50,15:40,SECTION,24,192.168.1.4
54,TUESDAY,15:50,16:40,SECTION,24,192.168.1.4
55,FRIDAY,14:00,14:50,SECTION,24,192.168.1.4
56,FRIDAY,14:50,15:40,SECTION,24,192.168.1.4
57,MONDAY,7:00,7:50,SECTION,47,192.168.1.5
58,MONDAY,7:50,8:40,SECTION,47,192.168.1.5
